generation,prompt_id,score,prompt
gen0,gen0_00,0.8678333333333331,
gen0,gen0_03,0.8668950000000001,Search for relevant information
gen0,gen0_08,0.8656261111111113,Information retrieval:
gen0,gen0_10,0.8654794444444444,Search for matching documents
gen0,gen0_06,0.8654677777777777,Find relevant documents
gen0,gen0_05,0.8653088888888889,Search:
gen0,gen0_19,0.8652994444444445,Document retrieval:
gen0,gen0_04,0.8647461111111112,Query:
gen0,gen0_15,0.8645094444444443,Match query to relevant documents
gen0,gen0_14,0.8642866666666668,Retrieve:
gen0,gen0_02,0.8641777777777778,Retrieve documents matching the query
gen0,gen0_11,0.8638144444444443,Document search:
gen0,gen0_17,0.863728888888889,Retrieve relevant passages from documents
gen0,gen0_23,0.8636283333333333,Knowledge retrieval:
gen0,gen0_24,0.8635649999999999,Answer query:
gen0,gen0_13,0.8632944444444447,Find:
gen0,gen0_01,0.8632438888888889,Find relevant passages
gen0,gen0_16,0.8627883333333334,Find information matching the question
gen0,gen0_07,0.8626655555555556,Retrieve matching passages
gen0,gen0_18,0.8626044444444445,Search knowledge base
gen0,gen0_22,0.8618983333333331,Relevant information:
gen0,gen0_09,0.8576761111111113,Find passages answering the question
gen0,gen0_20,0.8575222222222222,Find passages containing the answer
gen0,gen0_21,0.8555716666666666,Passage search:
gen0,gen0_12,0.8537000000000001,"Instruct: Find relevant passages
Query: "
gen0,gen0_00,0,
gen0,gen0_01,0,Find relevant passages
gen0,gen0_02,0,Retrieve documents matching the query
gen0,gen0_03,0,Search for relevant information
gen0,gen0_04,0,Query:
gen1,gen1_00,0.8678333333333331,
gen1,gen1_04,0.8671516666666668,-
gen1,gen1_03,0.8663138888888889,>
gen1,gen1_01,0.8651666666666668,:
gen1,gen1_05,0.8648777777777776,Q:
gen1,gen1_13,0.8645822222222221,Q
gen1,gen1_14,0.8639961111111112,S
gen1,gen1_12,0.8633983333333333,get
gen1,gen1_10,0.8632716666666665,search
gen1,gen1_07,0.8632466666666666,->
gen1,gen1_08,0.8626583333333335,>>
gen1,gen1_11,0.8625055555555555,find
gen1,gen1_15,0.8623716666666666,F
gen1,gen1_09,0.8623205555555555,query
gen1,gen1_06,0.8601744444444445,q:
gen1,gen1_00,0.8548705555555555,"Instruct: Retrieve
Query: "
gen1,gen1_00,0.8545694444444445,"Instruct: Retrieve
Query: "
gen1,gen1_24,0.854472777777778,"Instruct: Seek precise
Query: "
gen1,gen1_05,0.8536316666666668,"Instruct: Fetch
Query: "
gen1,gen1_03,0.8535283333333332,"Instruct: Search
Query: "
gen1,gen1_12,0.8534866666666666,"Instruct: Discover relevant
Query: "
gen1,gen1_02,0.8533949999999999,"Relevant Retrieval
Query: "
gen1,gen1_11,0.853281111111111,"Instruct: Seek
Query: "
gen1,gen1_23,0.8531277777777777,"Instruct: Search deeply
Query: "
gen1,gen1_04,0.8520838888888889,"Instruct: Explore
Query: "
gen1,gen1_08,0.8519227777777778,"Instruct: Uncover
Query: "
gen1,gen1_06,0.8512327777777776,"Instruct: Acquire
Query: "
gen1,gen1_01,0.8493344444444444,"Instruct: Identify
Query: "
gen1,gen1_13,0.8491044444444446,"Instruct: Unravel
Query: "
gen1,gen1_01,0.8489088888888889,"Instruct: Identify
Query: "
gen1,gen1_09,0.8481311111111111,"Instruct: Access
Query: "
gen1,gen1_17,0.8478122222222223,"Instruct: Discern
Query: "
gen1,gen1_14,0.8476811111111111,"Instruct: Pinpoint
Query: "
gen1,gen1_22,0.8470511111111111,"Instruct: Identify crucial
Query: "
gen1,gen1_07,0.8467016666666667,"Instruct: Probe
Query: "
gen1,gen1_10,0.846178888888889,"Instruct: Scan
Query: "
gen1,gen1_20,0.8459855555555557,"Instruct: Analyze
Query: "
gen1,gen1_16,0.844351111111111,"Instruct: Extract
Query: "
gen1,gen1_19,0.8440422222222224,"Instruct: Sift
Query: "
gen1,gen1_18,0.8428038888888889,"Instruct: Select
Query: "
gen1,gen1_15,0.8410405555555555,"Instruct: Detect
Query: "
gen1,gen1_21,0.8409427777777779,"Instruct: Filter
Query: "
gen1,gen1_02,0,?
gen1,gen1_00,0,"Instruct: Retrieve
Query: "
gen1,gen1_01,0,"Instruct: Identify
Query: "
gen1,gen1_02,0,"Relevant Retrieval
Query: "
